atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,sellrNm,repImgUrl,repImgTpCd,repImgThumb
2426729388,1135010500,은빛2단지,R0,A01,A01,아파트,A1,매매,OWNER,8/15,50000,0,5억,67,49.77,남향,24.05.31.,37.680054,127.052546,로얄동층이며 앞트이고 샷시포함특올수리 남향집입니다.,"['25년이상', '올수리', '역세권', '대단지']",209동,0,3,0,sunbang,선방,3,도깨비공인중개사,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,26A01A1N4d59d168100f0eea2a9ca896ea3a16cd50f572f6fad6986df6536329cca07c07,5억,5억,,,,
2426730094,1135010500,은빛1단지,R0,A01,A01,아파트,A1,매매,OWNER,11/15,45000,0,"4억 5,000",68,49.77,남향,24.05.31.,37.680971,127.054473,최근특올수리된집이며 앞트인 남향집입니다.,"['25년이상', '올수리', '역세권', '대단지']",101동,0,1,0,sunbang,선방,1,도깨비공인중개사,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,,,,,
2426760371,1135010500,한신2차,R0,A01,A01,아파트,A1,매매,OWNER,15/15,56800,0,"5억 6,800",101,84.92,동향,24.05.31.,37.66438,127.06826,불암산 확트인 전망.정상입주.최저가 급매물입니다.,"['25년이상', '급매', '탑층', '방세개']",5동,0,4,0,bizmk,매경부동산,2,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,26A01A1N419968cc795be8c7b3a5b0ddcd438ec76a2f1937d7182456a687c7c1c67efa99,"5억 6,800","5억 6,800",,,,
2426762926,1135010500,한신1차,R0,A01,A01,아파트,A1,매매,OWNER,14/15,34000,0,"3억 4,000",63,45.44,남향,24.05.31.,37.666712,127.068573,올수리된집.남향.정상입주가능한 집입니다.,"['25년이상', '올수리', '방두개']",4동,0,3,0,SERVE,부동산써브,2,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,26A01A1N6a424f0b6c3caa1130f64b2ff6e534a2f0260371827b95b3e5234f25c0590b64,"3억 5,000","3억 4,000",,/20240531_26/land_naver_1717140545624pdt0A_JPEG/1714373696501.jpg,10,f130_98
2426746341,1135010500,상계우방,R0,A01,A01,아파트,A1,매매,OWNER,2/19,60000,0,6억,76,59.93,동향,24.05.31.,37.672186,127.056738,BEST  올수리  입주날짜 협의 가능합니다,"['25년이내', '올수리', '방세개', '화장실한개']",102동,0,2,0,bizmk,매경부동산,1,우방한신공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,21A01A1Nf2bace4ccc1424716c82b7f50e51d29de3de6ce6c83c4eab41a7a0dbf8443bc0,6억,6억,,,,
2426750349,1135010500,수락파크빌,R0,A01,A01,아파트,A1,매매,OWNER,3/15,105000,0,"10억 5,000",142,114.82,남향,24.05.31.,37.678638,127.056815,"샷시까지 특올수리.탁트인남향,햇살밝고예쁜집. 주차편리.","['25년이내', '올수리', '역세권', '필로티']",504동,0,3,0,ten,텐컴즈,3,금빛부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,27A01A1N11e3444e198683cb92a862268da9847fac54cb0504af6ca2f353ec8c1fe7ea56,"10억 5,000","10억 5,000",,,,
2426740945,1135010500,중계센트럴파크,R0,A01,A01,아파트,A1,매매,OWNER,14/15,82000,0,"8억 2,000",122,84.53,남향,24.05.31.,37.643291,127.05912,올확장 .관리비 지원단지. 당현천 산책로 인접. 지하주차장.,"['10년이내', '방세개', '화장실두개', '고층']",102동,0,12,0,bizmk,매경부동산,3,건영(979-3100)공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,24A01A1N763077728c0523e7def50f769845c73528310d0540b845f28b26942f4bd2499d,"8억 9,000","8억 2,000",,,,
2426741387,1135010500,수락현대,R0,A01,A01,아파트,A1,매매,OWNER,8/12,75000,0,"7억 5,000",102,84.74,동향,24.05.31.,37.67499,127.06061,수락산숲세권.부분수리됨.초중교인접.수락산조망좋습니다.,"['25년이상', '방세개', '화장실두개', '중층']",101동,0,1,0,bizmk,매경부동산,1,휴플러스공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,,,,,
2426726792,1135010500,은빛1단지,R0,A01,A01,아파트,A1,매매,OWNER,2/15,43000,0,"4억 3,000",68,49.77,서향,24.05.31.,37.681084,127.052805,역세권 로얄동 지하주차장 세안고 매매,"['25년이상', '역세권', '대단지']",110동,0,2,0,bizmk,매경부동산,2,상일공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,26A01A1Nf91da263db2e8572013a86174491206e60182cb327474e9891e92f6be0d036ae,"4억 3,000","4억 3,000",,/20240531_209/land_naver_1717138715306RKVC8_JPEG/110%B5%BF_204%C8%A3_%281%29.jpg,10,f130_98
2426708500,1135010500,상계주공10단지,R0,A01,A01,아파트,A1,매매,OWNER,3/15,65000,0,"6억 5,000",85,60.5,동향,24.05.31.,37.66342,127.053426,"최근특올수리,재건축투자추천,개발호재다양,최다지분,정상입주","['25년이상', '올수리', '역세권', '대단지']",1027동,0,5,0,asil,아실,3,경성공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'asil', 'mobileArticleUrl': 'https://asil.kr/app/sale_info.jsp?UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,20A01A1Ncab505e77f3f73c16680430ec9862662e50f716c7149d111ab7e553a179feea4,"6억 5,000","6억 5,000",,,,
